Tool,Description,href,toolset,desc,toolb
Upgrade Attachments,Upgrades the attachments functionality on the data.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attachments-toolset.htm,Attachments,The Attachments toolset contains tools for managing geodatabase attachments.  The attachments functionality provides a powerful way to associate nongeographic data with your geographic information. With these geoprocessing tools you can more easily incorporate attachments into your workflows and automate the process of adding and removing attachments. ,Data Management toolbox
Add Attribute Rule,Adds an attribute rule to a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Alter Attribute Rule,Alters the properties of an attribute rule.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Delete Attribute Rule,Deletes one or more attribute rules from a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Disable Attribute Rules,Disables one or more attribute rules for a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Enable Attribute Rules,Enables one or more attribute rules in a dataset,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Evaluate Rules,Evaluates geodatabase rules and functionality that are managed by services.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Export Attribute Rules,Exports attribute rules from a dataset to a comma-separated values (.csv) file.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Import Attribute Rules,Imports attribute rules from a comma-separated values (.csv) file to a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Reorder Attribute Rule,Reorders the evaluation order of an attribute rule.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-attribute-rules-toolset.htm,Attribute Rules,The Attribute Rules toolset contains tools for managing geodatabase attribute rules.  Attribute rule functionality provides a way to add custom rules and behaviour to your geodatabase data. With these geoprocessing tools you can easily incorporate attribute rules into your workflows and automate the process of adding and removing rules. ,Data Management toolbox
Add Contingent Value,Adds a contingent value to a field group on a feature class or table.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Alter Field Group,Alters the properties of a field group.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Create Field Group,Create a field group for a feature class or table. Field groups are used when creating contingent values.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Delete Field Group,Deletes a field group from a table or feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Export Contingent Values,Exports field groups and contingent values to a .csv file.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Import Contingent Values,Imports multiple contingent values and field groups from a comma-separated values file (.csv) into a dataset.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Remove Contingent Value,Removes a contingent value from a field group.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-contingent-values-toolset.htm#GUID-1543D2B7-A014-4302-A2E2-8AC811547FED,Contingent Values,The Contingent Values toolset contains tools for managing geodatabase contingent values and field groups.  Contingent values functionality provides a way to add custom behavior to your geodatabase data. You can incorporate contingent values into your workflows and automate the process of adding and removing values using these tools. ,Data Management toolbox
Detect Feature Changes,"Finds where the update line features spatially match the base line features and detects spatial changes, attribute changes, or both, as well as no change, and creates an output feature class containing matched update features with information about their changes, unmatched update features, and unmatched base features.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
Feature Compare,Compares two feature classes or layers and returns the comparison results.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
File Compare,Compares two files and returns the comparison results..,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
Raster Compare,Compares the properties of two raster or mosaic datasets.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
Table Compare,Compares two tables or table views and returns the comparison results.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
TIN Compare,Compares two TINs and returns the comparison results.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-data-comparison-toolset.htm,Data Comparison,"
The Data Comparison toolset contains tools to compare one dataset with another dataset to report similarities and differences. You can use these tools to identify changes made to a dataset.",Data Management toolbox
Create Replica,"Creates a replica to a geodatabase from a specified list of feature classes, layers, datasets, and tables in an enterprise geodatabase.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Distributed  Geodatabase, The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,Data Management toolbox
Disable Replica Tracking,Disables replica tracking on data.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Distributed  Geodatabase, The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,Data Management toolbox
Enable Replica Tracking,"Enables replica tracking on data, allowing you to work with  offline maps. Replica tracking applies to services that are configured with the sync capability with the option of creating a version for each downloaded map.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Distributed  Geodatabase, The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,Data Management toolbox
Synchronize Changes,Synchronizes updates between two replica geodatabases in a specified direction.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Distributed  Geodatabase, The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,Data Management toolbox
Unregister Replica,Unregisters a replica from an enterprise geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-distributed-geodatabase-toolset.htm,Distributed  Geodatabase, The Distributed Geodatabase toolset contains tools that allow you to create and synchronize changes between replica geodatabases.,Data Management toolbox
Add Coded Value To Domain,Adds a value to a domain's coded value list.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Alter Domain,Alters the properties of an existing attribute domain in a workspace.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Assign Domain To Field,"Sets the domain for a particular field and, optionally, for a subtype. If no subtype is specified, the domain is only assigned to the specified field.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Create Domain,Creates an attribute domain in the specified workspace.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Delete Coded Value From Domain,Removes a value from a coded value domain.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Delete Domain,Deletes a domain from a workspace.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Domain To Table,Creates a table from an attribute domain.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Remove Domain From Field,Removes an attribute domain association from a feature class or table field.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Set Value For Range Domain,Sets the minimum and maximum values for an existing Range domain.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Sort Coded Value Domain,Sorts the code or description of a coded value domain in either ascending or descending order.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Table To Domain,Creates or updates a coded value domain with values from a table.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-domains-toolset.htm,Domains,"
Domains offer a way to define a range of values that can be used for multiple attribute fields. Using domains helps ensure data integrity by limiting the choice of values for a particular field. Validation for coded value domains is accomplished by restricting  field values found in drop-down lists. Range domains are automatically validated during editing.",Data Management toolbox
Disable Feature Binning,Disables feature binning on a feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-binning-toolset.htm,Feature Binning,"The Feature Binning toolset contains tools for managing feature binning.
 Feature binning is an advanced visualization capability that allows users to explore and visualize large datasets. It also helps users observe patterns at macro and micro levels with simple out-of-the-box mapping options.",Data Management toolbox
Enable Feature Binning,Enables feature binning on a feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-binning-toolset.htm,Feature Binning,"The Feature Binning toolset contains tools for managing feature binning.
 Feature binning is an advanced visualization capability that allows users to explore and visualize large datasets. It also helps users observe patterns at macro and micro levels with simple out-of-the-box mapping options.",Data Management toolbox
Manage Feature Bin Cache,Manages the feature binning cache for data with feature binning enabled.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-binning-toolset.htm,Feature Binning,"The Feature Binning toolset contains tools for managing feature binning.
 Feature binning is an advanced visualization capability that allows users to explore and visualize large datasets. It also helps users observe patterns at macro and micro levels with simple out-of-the-box mapping options.",Data Management toolbox
Append Annotation Feature Classes,Creates a geodatabase annotation feature class or appends to an existing annotation feature class by combining annotation from multiple input geodatabase annotation feature classes into a single feature class with annotation classes.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Create Feature Class,Creates an empty feature class in a geodatabase or a shapefile in a folder.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Create Unregistered Feature Class,Creates an empty feature class in a database or enterprise geodatabase. The feature class is not registered with the geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Integrate,"Analyzes the coordinate locations of feature vertices among features in one or more feature classes. Those that fall within a specified distance of one another are assumed to represent the same location and are assigned a common coordinate value (in other words, they are colocated). The tool also adds vertices where feature vertices are within the x,y tolerance of an edge and where line segments intersect.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Recalculate Feature Class Extent,"Recalculates the XY, Z, and M extent properties of a feature class based on the features in the feature class.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Set Feature Class Split Model,Defines the behavior of a split operation on a feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-feature-class-toolset.htm,Feature Class,"
The Feature Class toolset provides a set of tools that perform basic feature class management.",Data Management toolbox
Add Geometry Attributes,"Adds new attribute fields to the input features representing the spatial or geometric characteristics and location of each feature, such as length or area and x-, y-, z-, and m-coordinates.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Add XY Coordinates,Adds the fields POINT_X and POINT_Y to the point input features and calculates their values. It also appends the POINT_Z and POINT_M fields if the input features are Z- and M-enabled.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Adjust 3D Z,Modifies Z-values of 3D features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Bearing Distance To Line,"Creates a feature class containing geodetic line features constructed based on the values in an x-coordinate field, y-coordinate field, bearing field, and distance field of a table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Calculate Geometry Attributes,"Adds information to a feature's attribute fields representing the spatial or geometric characteristics and location of each feature, such as length or area and x-, y-, z-, and m-coordinates.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Check Geometry,Generates a report of the geometry problems in a feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Copy Features,Copies features from the input feature class or layer to a new feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Delete Features,Deletes all or the selected subset of features from the input.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Dice,"Subdivides a feature into smaller features based on a specified vertex limit. This tool is intended as a way to subdivide extremely large features that cause issues with drawing, analysis, editing, and/or performance but are difficult to split up with standard editing and geoprocessing tools. This tool should not be used in any cases other than those where tools are failing to complete successfully due to the size of features.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Feature Envelope To Polygon,"Creates a feature class containing polygons, each of which represents the envelope of an input feature.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Feature To Line,"Creates a feature class containing lines generated by converting polygon boundaries to lines, or splitting line, polygon, or both features at their intersections.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Feature To Point,Creates a feature class containing points generated from the representative locations of input features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Feature To Polygon,Creates a feature class containing polygons generated from areas enclosed by input line or polygon features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Feature Vertices To Points,Creates a feature class containing points generated from specified vertices or locations of the input features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Geodetic Densify,"Creates new features by replacing input feature's segments with densified approximations of geodesic segments. Four type of geodesic segments can be constructed: Geodesic, Great Elliptic, Loxodrome, and Normal Section.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Minimum Bounding Geometry,Creates a feature class containing polygons which represent a specified minimum bounding geometry enclosing each input feature or each group of input features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Multipart To Singlepart,Creates a feature class containing singlepart features generated by separating multipart input features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Points To Line,Creates line features from points.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Polygon To Line,Creates a feature class containing lines that are converted from polygon boundaries with or without considering neighboring polygons.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Repair Geometry,"Inspects each  feature in a feature class for problems with its geometry.  Upon discovery of a problem, a fix will be applied, and a one-line description will identify the feature, as well as the geometry problem that was fixed.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Split Line At Point,Splits line features based on intersection or proximity to point features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Split Line At Vertices,Creates a feature class containing lines that are generated by splitting input lines or polygon boundaries at their vertices.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Subdivide Polygon,Divides polygon features into a number of equal areas or parts.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Table To Ellipse,"Creates a feature class containing geodetic ellipse features constructed based on the values in an x-coordinate field, y-coordinate field, major-axis field, minor-axis field, and azimuth field of a table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Unsplit Line,"Merges lines that have coincident endpoints and, optionally, common attribute values.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
XY Table To Point,"Creates a new point feature class based on x-, y-, and z-coordinates from a table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
XY To Line,"Creates a feature class containing geodetic line features constructed based on the values in a start x-coordinate field, start y-coordinate field, end x-coordinate field, and end y-coordinate field of a table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-features-toolset.htm,Features,"
The Features toolset contains tools to create and manage feature-based GIS data, transform features from one geometry type to another, find and correct issues with feature geometry, and record feature geometry measurements and coordinates as attributes.",Data Management toolbox
Add Field,"Adds a new field to a table or the table of a feature class or feature layer, as well as to rasters with attribute tables.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-fields-toolset.htm,Fields,"The Fields toolset contains a set of tools to create and modify fields. A field is a column in a table; each field contains the values for a single attribute. Any number of fields can be included in a table. Settings can be specified for fields, such as the field type and the maximum size of the data that can be stored in it.",Data Management toolbox
Add Fields (multiple),"Adds new fields to a table, feature class, or raster.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-fields-toolset.htm,Fields,"The Fields toolset contains a set of tools to create and modify fields. A field is a column in a table; each field contains the values for a single attribute. Any number of fields can be included in a table. Settings can be specified for fields, such as the field type and the maximum size of the data that can be stored in it.",Data Management toolbox
Add Global IDs,"Adds global IDs to a list of geodatabase feature classes, tables, and feature datasets.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-fields-toolset.htm,Fields,"The Fields toolset contains a set of tools to create and modify fields. A field is a column in a table; each field contains the values for a single attribute. Any number of fields can be included in a table. Settings can be specified for fields, such as the field type and the maximum size of the data that can be stored in it.",Data Management toolbox
