href,tool,desc,toolb
/en/pro-app/2.7/tool-reference/geocoding/create-feature-locator.htm,Create Feature Locator," Creates a locator using reference data that contains a unique name or value for every feature stored in a single field. A locator created with this tool has broad applications. It can be used to search for names or unique attributes of your features, such as water meters, short place names, cell towers, or alphanumeric strings used to identify locations (for example, N1N115).",Geocoding toolbox
/en/pro-app/2.7/tool-reference/geocoding/create-locator.htm,Create Locator,"Creates a locator that can find the location of an address or a place, convert a table of addresses or places into a collection of point features, or identify the address of a point location.",Geocoding toolbox
/en/pro-app/2.7/tool-reference/geocoding/geocode-addresses.htm,Geocode Addresses,"Geocodes a table of addresses.  This process requires a table that stores the addresses you want to geocode and an address locator or a composite address locator. This  tool matches the addresses against the locator and saves the result for each input record  in a new point feature class.  When using the ArcGIS World Geocoding Service, this operation may consume credits.",Geocoding toolbox
/en/pro-app/2.7/tool-reference/geocoding/rebuild-address-locator.htm,Rebuild Address Locator,"Rebuilds an address locator to update the locator with the current reference data. Because a locator contains a snapshot of the reference data when it was created, it will not geocode addresses with the updated data  when the geometry and attributes of the reference data are changed.  To geocode addresses with the current version of the reference data, the  locator must be rebuilt if you want to update the changes in the locator.
",Geocoding toolbox
/en/pro-app/2.7/tool-reference/geocoding/rematch-addresses.htm,Rematch Addresses,Rematches addresses in a geocoded feature class.,Geocoding toolbox
/en/pro-app/2.7/tool-reference/geocoding/reverse-geocode.htm,Reverse Geocode,"Creates addresses from point locations in a feature class. The reverse geocoding process searches for the nearest address or intersection for the point location based on the specified search distance. When using the ArcGIS World Geocoding Service, this operation may consume credits.",Geocoding toolbox
/en/pro-app/2.7/tool-reference/geostatistical-analyst/an-overview-of-the-interpolation-toolset.htm,Interpolation,Tools to predict values at unmeasured locations.,Geostatistical Analyst toolbox
/en/pro-app/2.7/tool-reference/geostatistical-analyst/an-overview-of-the-sampling-network-design-toolset.htm,Sampling Network Design,Contains tools used to assist in the placement of new sampling sites. The Densify Sampling Network tool can also be used to determine which sampling sites are no longer required.,Geostatistical Analyst toolbox
/en/pro-app/2.7/tool-reference/geostatistical-analyst/an-overview-of-the-simulation-toolset.htm,Simulation,Tools in this toolset are used to perform geostatistical simulations and to assist in the analysis of the results.,Geostatistical Analyst toolbox
/en/pro-app/2.7/tool-reference/geostatistical-analyst/an-overview-of-the-utilities-toolset-for-geostatistical-analyst.htm,Utilities,Tools for pre- and postprocessing when developing interpolation models using the Geostatistical Analyst.,Geostatistical Analyst toolbox
/en/pro-app/2.7/tool-reference/geostatistical-analyst/an-overview-of-the-working-with-geostatistical-layers-toolset.htm,Working with Geostatistical Layers,"This toolset contains tools used to create, modify, export, and manipulate the properties of a geostatistical layer.",Geostatistical Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-change-detection-toolset-in-image-analyst.htm,Change Detection,The Change Detection toolset contains a tool that performs change detection between two raster datasets. ,Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-deep-learning-toolset-in-image-analyst.htm,Deep Learning,The Deep Learning toolset contains tools to detect specific features in an image or to classify pixels in a raster dataset.,Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-extraction-toolset-in-image-analyst.htm,Extraction,The Extraction toolset allows you to extract a subset of pixels from a raster by the pixels' attributes or their spatial location. ,Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-map-algebra-toolset-in-image-analyst.htm,Map Algebra,"Map Algebra is a way to perform spatial analysis by creating expressions in an algebraic language.  With the Raster Calculator tool, you can easily create and run Map Algebra expressions that output a raster dataset.",Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-math-tools-in-image-analyst.htm,Math,"The Math toolset contains tools that perform mathematical operations on rasters.The tools are grouped into four main categories:
MathThe tools at the top level of the math toolset perform basic mathematical operations on rasters in the following categories: Arithmetic, Power, Exponential, and Logarithmic. Also included are tools that alter the sign of the raster values, as well as those involved in converting the values between integer and floating point.ConditionalThe Conditional math toolset allows you to control the output values based on the conditions placed on the input values.LogicalThe Logical math toolset contains tools for performing logical evaluations on rasters in the following categories: Bitwise, Boolean, Combinatorial, Relational, and Conditional.TrigonometricThe Trigonometric math toolset contains tools for trigonometric calculations in several categories: Regular, Inverse, Hyperbolic, and Inverse Hyperbolic.",Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-motion-imagery-tools-in-image-analyst.htm,Motion Imagery,"The Motion Imagery toolset contains tools for managing, processing, and analyzing motion imagery, including full motion video data.",Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-multidimensional-analysis-toolset-in-image-analyst.htm,Multidimensional Analysis,"The tools in the Multidimensional Analysis toolset allow you to perform analysis   
on scientific data across multiple variables and dimensions.",Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-overlay-tools-in-image-analyst.htm,Overlay,With the Overlay analysis toolset you can weight and overlay several rasters to create a single summary raster result.,Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-segmentation-and-classification-tools-in-image-analyst.htm,Segmentation and Classification,"With the segmentation and classification tools, you can prepare segmented rasters to use in creating classified raster datasets.",Image Analyst toolbox
/en/pro-app/2.7/tool-reference/image-analyst/an-overview-of-the-statistical-tools-in-image-analyst.htm,Statistical,The statistical tools perform statistical operations on raster data.,Image Analyst toolbox
/en/pro-app/2.7/tool-reference/indoors/configure-indoor-positioning.htm,Configure Indoor Positioning,Writes indoor positioning system configuration information to an ArcGIS Indoors geodatabase. The values are used by ArcGIS Indoors for iOS and ArcGIS Indoors for Android.,Indoors toolbox
/en/pro-app/2.7/tool-reference/indoors/create-indoors-database.htm,Create Indoors Database,"Adds the necessary datasets, feature classes, tables, and configurations to a geodatabase to host ArcGIS Indoors data.",Indoors toolbox
/en/pro-app/2.7/tool-reference/indoors/generate-occupant-features.htm,Generate Occupant Features,Creates or updates employee or occupant point data that conforms to the ArcGIS Indoors Information Model.,Indoors toolbox
/en/pro-app/2.7/tool-reference/indoors/generate-unit-openings.htm,Generate Unit Openings,Creates unit openings as line features that model the location and physical extent of an entrance.,Indoors toolbox
/en/pro-app/2.7/tool-reference/indoors/import-bim-to-indoor-dataset.htm,Import BIM To Indoor Dataset,Imports features from a BIM file into an indoor dataset.,Indoors toolbox
/en/pro-app/2.7/tool-reference/indoors/import-floorplans-to-indoors-geodatabase.htm,Import Floorplans To Indoors Geodatabase,Imports floor plans from CAD files into a workspace that contains the ArcGIS Indoors Information Model.,Indoors toolbox
/en/pro-app/2.7/tool-reference/intelligence/an-overview-of-the-analysis-toolset.htm,Analysis,The Analysis toolset contains tools that conduct analysis in an intelligence context.,Intelligence toolbox
/en/pro-app/2.7/tool-reference/intelligence/an-overview-of-the-conversion-toolset.htm,Conversion,"The 
Conversion toolset contains tools that convert different types of intelligence source data.",Intelligence toolbox
/en/pro-app/2.7/tool-reference/intelligence/an-overview-of-the-movement-analysis-toolset.htm,Movement,"The Movement Analysis toolset contains tools that 
analyze point track data including comparing tracks over different areas, extracting unique identifiers from a point tract dataset, and identifying locations where tracks meet.",Intelligence toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/calibrate-routes.htm,Calibrate Routes,Recalculates route measures using points.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/create-routes.htm,Create Routes,Creates routes from existing lines. The input line features that share a common identifier are merged to create a single route.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/dissolve-route-events.htm,Dissolve Route Events,Removes redundant information from event tables or separates event tables having more than one descriptive attribute into individual tables.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/locate-features-along-routes.htm,Locate Features Along Routes,"Computes the intersection of input features (point, line, or polygon) and route features and writes the route and measure information to a new event table.",Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/make-route-event-layer.htm,Make Route Event Layer,Creates a temporary feature layer using routes and route events.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/overlay-route-events.htm,Overlay Route Events,Overlays two event tables to create an output event table that represents the union or intersection of the input.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/linear-referencing/transform-route-events.htm,Transform Route Events,Transforms the measures of events from one route reference to another and writes them to a new event table.,Linear Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/append-events.htm,Append Events,"Appends event records from a table, layer, or feature class to an existing ArcGIS Location Referencing event feature class.",Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/append-routes.htm,Append Routes,Appends routes from an input polyline into an LRS Network.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/apply-event-behaviors.htm,Apply Event Behaviors,Updates the event locations for all event feature classes registered with the input network based on the route edit performed.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/delete-routes.htm,Delete Routes,Deletes routes and associated data elements from the LRS Network.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/derive-event-measures.htm,Derive Event Measures,Populates and updates the DerivedRouteID field and measure values on point and line events with those fields configured and enabled.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/generate-calibration-points.htm,Generate Calibration Points,"Generates calibration points for any route shape provided, including  complex shapes such as self-closing, self-intersecting, and branched routes.",Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/generate-events.htm,Generate Events,Re-creates shapes for event features registered with an LRS Network.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/generate-intersections.htm,Generate Intersections,Generates new intersections and updates existing intersections.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/generate-routes.htm,Generate Routes, Re-creates shapes and applies calibration changes for route features in an LRS Network. ,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/overlay-events.htm,Overlay Events,"Overlays one or more linear event feature layers onto a target network 
and outputs a feature class or table that represents the dynamic segmentation of the inputs.",Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/remove-overlapping-centerlines.htm,Remove Overlapping Centerlines,Removes overlapping centerline sections to ensure that there is one common centerline in cases where centerline geometry overlaps.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/translate-event-measures.htm,Translate Event Measures, Translates the measures (m-values) of a point or line event layer from one linear referencing method (LRM) to another.,Location Referencing toolbox
/en/pro-app/2.7/tool-reference/location-referencing/update-measures-from-lrs.htm,Update Measures From LRS,"Populates or updates  the measures and route ID on Utility Network (UN) features such as pipes, devices, and junctions or on features in other non-UN or non-LRS feature classes.",Location Referencing toolbox
/en/pro-app/2.7/tool-reference/maritime/reduce-point-density.htm,Reduce Point Density,Thins points from a point or multipoint feature class.,Maritime toolbox
/en/pro-app/2.7/tool-reference/maritime/smooth-bathymetric-tin.htm,Smooth Bathymetric TIN,Smooths a triangulated irregular network (TIN) dataset in a manner that strictly preserves a shallow bias.,Maritime toolbox
/en/pro-app/2.7/tool-reference/multidimension/build-multidimensional-info.htm,Build Multidimensional Info,"
Build Multidimensional Info",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/build-multidimensional-info.htm,Build Multidimensional Info,"
Generates multidimensional metadata in the mosaic dataset, including information regarding variables and dimensions.",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/build-multidimensional-transpose.htm,Build Multidimensional Transpose,"
Build Multidimensional Transpose",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/build-multidimensional-transpose.htm,Build Multidimensional Transpose,"
Transposes a multidimensional raster dataset, which divides the  multidimensional data along each dimension to optimize performance when accessing pixel values across all slices.",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/make-multidimensional-raster-layer.htm,Make Multidimensional Raster Layer,"
  Make Multidimensional Raster Layer",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/make-multidimensional-raster-layer.htm,Make Multidimensional Raster Layer,"
Creates a raster layer from a multidimensional raster dataset or a multidimensional raster layer  by slicing data along defined variables and dimensions.",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/make-opendap-raster-layer.htm,Make OPeNDAP Raster Layer,Creates a raster layer from data stored on an OPeNDAP server.,Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/manage-multidimensional-raster.htm,Manage Multidimensional Raster,Edits a multidimensional raster by adding or deleting variables or dimensions.,Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/merge-multidimensional-rasters.htm,Merge Multidimensional Rasters,"Combines multiple multidimensional raster datasets spatially, or across variables and dimensions.",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/select-by-dimension.htm,Select By Dimension,Updates the netCDF layer display or netCDF table view based on the dimension value.,Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/subset-multidimensional-raster.htm,Subset Multidimensional Raster,"
Subset Multidimensional Raster",Multidimension toolbox
/en/pro-app/2.7/tool-reference/multidimension/subset-multidimensional-raster.htm,Subset Multidimensional Raster,"
Creates a subset of a multidimensional raster by slicing data along defined variables and dimensions.",Multidimension toolbox
/en/pro-app/2.7/tool-reference/network-analyst/an-overview-of-the-network-analysis-toolset.htm,Analysis,"The Analysis toolset contains tools used to perform analysis when using the ArcGIS Network Analyst extension. The toolset contains a variety of tools, including tools to create a network analysis layer and set its analysis properties for each solver provided with Network Analyst, tools to add network analysis objects to one or more network analysis classes, a tool to solve an analysis, and a tool to generate driving directions.",Network Analyst toolbox
/en/pro-app/2.7/tool-reference/network-analyst/an-overview-of-the-network-dataset-toolset.htm,Network Dataset,The Network Dataset toolset contains tools used to perform network dataset maintenance tasks such as building and dissolving network datasets. ,Network Analyst toolbox
/en/pro-app/2.7/tool-reference/network-analyst/an-overview-of-the-turn-feature-class-toolset.htm,Turn Feature Class,"The Turn Feature Class toolset contains tools used to build and edit turn data. The tools in the toolset allow you to create new turn feature classes, convert existing ArcView GIS or ArcInfo Workstation turn tables to turn feature classes, and maintain the integrity of existing turn features based on their geometry or an alternate ID field in cases when the reference source features are updated. ",Network Analyst toolbox
/en/pro-app/2.7/tool-reference/network-diagram/alter-diagram-properties.htm,Alter Diagram Properties,Alters properties for a stored network diagram.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/append-to-diagram.htm,Append to Diagram,Appends network elements to a network diagram.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/change-diagrams-owner.htm,Change Diagrams Owner,Changes ownership of stored network diagrams.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/create-diagram.htm,Create Diagram,Creates a temporary network diagram from network elements currently selected in the active map or from layers created from a Python script.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/delete-diagram.htm,Delete Diagram,"Deletes one or more stored network diagrams, which are optionally filtered by their diagram template names, related to a given network. ",Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/export-diagram-content.htm,Export Diagram Content,"Exports diagram content in a simple format (JSON) that reflects basic connectivity. Additional optional information such as diagram properties, diagram feature geometry, network elements attributes, and aggregated elements can also be exported.",Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/extend-diagram.htm,Extend Diagram,Extends a network diagram one network element level based on network connectivity or traversability or on containment or structural attachment associations.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/make-diagram-layer.htm,Make Diagram Layer,Creates a network diagram layer from a  network diagram.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/overwrite-diagram.htm,Overwrite Diagram,Overwrites the contents of a network diagram with the network elements currently selected in the specified map. These network elements become the new initial content of the diagram.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/purge-temporary-diagrams.htm,Purge Temporary Diagrams,Purges temporary network diagrams related to a given utility network or trace network.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/store-diagram.htm,Store Diagram,Stores a temporary network diagram in the database. Access rights and tags can be assigned to control security and searchability of the diagram.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/network-diagram/update-diagram.htm,Update Diagram,Updates one or more network diagrams that are related to a given utility network or trace network.,Network Diagram toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-analyze-patterns-toolset.htm,Analyze Patterns,"These tools identify, quantify, and visualize spatial patterns in data.",Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-analyze-terrain-toolset.htm,Analyze Terrain,This toolset contains a tool that analyzes raster surfaces.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-deep-learning-toolset-in-raster-analysis.htm,Deep Learning,This toolset contains tools that detect specific features in an image or classify pixels in a raster dataset.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-generalize-toolset.htm,Generalize,This toolset contains a tool for generalizing or simplifying a raster layer.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-hydrology-toolset.htm,Hydrology,These tools model the flow of water across a surface.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-manage-data-toolset.htm,Manage Data,These tools are used for the day-to-day management of geographic data.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-summarize-data-toolset.htm,Summarize Data,This toolset contains tools for calculating statistics for a raster layer within zones defined by another dataset.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-use-proximity-toolset.htm,Use Proximity,These tools analyze distance and proximity.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/raster-analysis/an-overview-of-the-legacy-use-proximity-toolset.htm,Use Proximity (Legacy),These legacy tools analyze distance and proximity.,Raster Analysis toolbox
/en/pro-app/2.7/tool-reference/ready-to-use/an-overview-of-the-elevation-toolset.htm,Elevation,"The 
Elevation toolset contains tools that operate on authoritative digital elevation models to derive surface information, such as calculating visible areas and profiles.
",Ready To Use toolbox
/en/pro-app/2.7/tool-reference/ready-to-use/an-overview-of-the-hydrology-toolset.htm,Hydrology,The Hydrology toolset contains tools that use elevation data and ancillary information to model the movement of water across the landscape for delineating watersheds and tracing downstream flow path.,Ready To Use toolbox
/en/pro-app/2.7/tool-reference/ready-to-use/an-overview-of-the-network-analysis-toolset.htm,Network Analysis,"The Network Analysis toolset contains tools that allow you to perform analyses on street networks, such as finding the best route across a city, finding the closest emergency vehicle or facility, identifying a service area around a location, or servicing a set of orders with a fleet of vehicles.
",Ready To Use toolbox
/en/pro-app/2.7/tool-reference/server/an-overview-of-the-caching-toolset.htm,Caching,The Caching toolset creates and manages caches for faster display of web tile layers. The caches consist of pregenerated images that the server can distribute to clients.,Server toolbox
/en/pro-app/2.7/tool-reference/server/an-overview-of-the-data-extraction-toolset.htm,Data Extraction,"The Data Extraction toolset provides four tools to implement advanced clip, zip, and ship tasks as an ArcGIS Server geoprocessing service.  General extracting tools, such as those in the   Extract toolset and the feature analysis tool Clip, only allow you to extract the subset of a single layer data with the output showing the same data format and spatial reference as the input. These tools are somewhat  limited for those who want to extract data with the flexibility to select multiple  layers, output format, and spatial reference—especially over the Internet. The Data Extraction toolset is designed to facilitate such functionality so you can efficiently extract the multiple-layered data with the specified format and spatial reference through the geoprocessing service.  Moreover, you can zip the output file and send it through email, thus making the whole extraction and delivery process more effective. ",Server toolbox
/en/pro-app/2.7/tool-reference/server/an-overview-of-the-printing-toolset.htm,Printing, The Printing toolset provides  tools to facilitate printing from web applications.,Server toolbox
/en/pro-app/2.7/tool-reference/server/an-overview-of-the-publishing-toolset.htm,Publishing,The Publishing toolset provides tools to stage and share web layers and services. Sharing hosted web layers and services can be accomplished using ArcGIS Pro.,Server toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/create-space-time-cube.htm,Create Space Time Cube By Aggregating Points,"
Summarizes a set of points into a netCDF data structure by aggregating them into space-time bins.  Within each bin, the points are counted, and specified attributes are aggregated.  For all bin locations, the trend for counts and summary field values are evaluated.  
",Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/createcubefromdefinedlocations.htm,Create Space Time Cube From Defined Locations,"Takes panel data or station data (defined locations where geography does not change but attributes are changing over time) and structures it into a netCDF data format by creating space-time bins.  For all locations, the trend for variables or summary fields is evaluated.",Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/createcubefrommdrasterlayer.htm,Create Space Time Cube From Multidimensional Raster Layer,Creates a space-time cube from a  multidimensional raster layer and structures the data into space-time bins for efficient space-time analysis and visualization.  ,Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/emerginghotspots.htm,Emerging Hot Spot Analysis,"
Identifies trends in the clustering of point densities (counts) or values in a space-time cube created using either the Create Space Time Cube By Aggregating Points, Create Space Time Cube From Defined Locations or Create Space Time Cube from Multidimensional Raster Layer  tool. Categories include new, consecutive, intensifying, persistent, diminishing, sporadic, oscillating, and historical hot and cold spots.",Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/localoutlieranalysis.htm,Local Outlier Analysis,Identifies statistically significant clusters and outliers in the context of both space and time.  This tool is a space-time implementation of the Anselin Local Moran's I statistic.,Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/space-time-pattern-mining/time-series-clustering.htm,Time Series Clustering,"Partitions a collection of time series, stored in a space-time cube, based on the similarity of time series characteristics. Time series can be clustered based on three criteria: having similar values across time, tending to increase and decrease at the same time, and having similar repeating patterns. The output of this tool is a 2D map displaying each location in the cube symbolized by cluster membership and messages. The output also includes charts containing information about the representative time series signature for each cluster.",Space Time Pattern Mining toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-conditional-tools.htm,Conditional,"The Conditional tools allow you to control the output values based on the conditions placed on the input values. The conditions that can be applied are of two types, those being either queries on the attributes or a condition based on the position of the conditional statement in a list.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-density-tools.htm,Density,"With the Density tools, you can calculate the density of input features within a neighborhood around each output raster cell.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-distance-tools.htm,Distance,"The Distance tools allow you to perform analysis that accounts for either straight-line (Euclidean) or weighted distance. Distance can be weighted by a simple cost (friction) surface, or in ways that account for vertical and horizontal restrictions to movement.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-extraction-tools.htm,Extraction,The Extraction tools allow you to extract a subset of cells from a raster by either the cells' attributes or their spatial location. You can also obtain the cell values for specific locations as an attribute in a point feature class or as a table.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-generalization-tools.htm,Generalization,The generalization analysis tools are used to either clean up small erroneous data in the raster or generalize the data to get rid of unnecessary detail for a more general analysis.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-groundwater-tools.htm,Groundwater,The Groundwater tools can be used to perform rudimentary advection-dispersion modeling of constituents in groundwater flow.  The following topics provide background information on the theoretical aspects of the tools as well as some examples of their implementation.The Groundwater tools can be applied individually or used in sequence to model and analyze groundwater flow. ,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-hydrology-tools.htm,Hydrology,The Hydrology tools are used to model the flow of water across a surface.The Hydrology tools can be applied individually or used in sequence to create a stream network or delineate watersheds.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-interpolation-tools.htm,Interpolation,"The Interpolation tools create a continuous (or prediction) surface from sampled point values.The continuous surface representation of a raster dataset represents some measure, such as the height, concentration, or magnitude (for example, elevation, acidity, or noise level). Surface interpolation tools make predictions from sample measurements for all locations in an output raster dataset, whether or not a measurement has been taken at the location.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-local-tools.htm,Local,"The local tools are those where the value at each cell location on the output raster is a function of the values from all the inputs at that location.With the local tools, you can combine the input rasters, calculate a statistic on them, or evaluate a criterion for each cell on the output raster based on the values of each cell from multiple input rasters.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-map-algebra-toolset.htm,Map Algebra,"Map Algebra is a way to perform spatial analysis by creating expressions in an algebraic language.  With the Raster Calculator tool, you can easily create and run Map Algebra expressions that output a raster dataset.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-math-tools.htm,Math (general),"The general Math tools apply a mathematical function to the input. These tools fall into several categories. The arithmetic tools perform basic mathematical operations, such as addition and multiplication. There are tools that perform various types of exponentiation operations, which includes exponentials and logarithms in addition to the basic power operations. The remaining tools are used either for sign conversion or for conversion between integer and floating point data types.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-math-bitwise-tools.htm,Math Bitwise,The bitwise math tools compute on the binary representation of the input values.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-math-logical-tools.htm,Math Logical,"The Logical Math tools evaluate the values of the inputs and determine the output values based on Boolean logic. The tools are grouped into four main categories: Boolean, Combinatorial, Logical, and Relational.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-math-trigonometric-tools.htm,Math Trigonometric,"Trigonometric Math tools perform various trigonometric calculations
on the values in an input raster.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-multidimensional-analysis-tools.htm,Multidimensional Analysis,The Multidimensional Analysis tools allow you to perform analysis on scientific data across multiple variables and dimensions.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-multivariate-tools.htm,Multivariate,Multivariate statistical analysis allows the exploration of relationships among many different types of attributes. There are two types of multivariate analysis available: Classification (both Supervised and Unsupervised) and Principal Component Analysis (PCA).,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-neighborhood-tools.htm,Neighborhood,Neighborhood tools create output values for each cell location based on the location value and the values identified in a specified neighborhood. The neighborhood type can be either moving or search radius.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-overlay-tools.htm,Overlay,"Overlay analysis tools allow you to apply weights to several input layers, combine them into a single output, and subject to specifications  of distribution and shape, identify preferred  locations within that result. These tools are commonly used for suitability modeling.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-raster-creation-tools.htm,Raster Creation,The Raster Creation tools generate new rasters in which the output values are based on a constant or a statistical distribution.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-reclass-tools.htm,Reclass,The Reclass tools provide a variety of methods that allow you to reclassify or change input cell values to alternative values.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-segmentation-and-classification-tools.htm,Segmentation and Classification,"With the segmentation and classification tools, you can prepare segmented rasters to use in creating classified raster datasets.",Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-solar-radiation-tools.htm,Solar Radiation,The solar radiation analysis tools enable you to map and analyze the effects of the sun over a geographic area for specific time periods.,Spatial Analyst toolbox
/en/pro-app/2.7/tool-reference/spatial-analyst/an-overview-of-the-surface-tools.htm,Surface,"With the Surface tools, you can quantify and visualize a terrain landform represented by a digital elevation model.",Spatial Analyst toolbox
