tool,description,href,toolbox,toolset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,To Shapefile
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,To Shapefile
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,To Shapefile
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,To Shapefile
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,To Shapefile
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,To Shapefile
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Conversion toolbox,Transit Feed (GTFS)
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Conversion toolbox,Transit Feed (GTFS)
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Conversion toolbox,Transit Feed (GTFS)
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Conversion toolbox,Transit Feed (GTFS)
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Conversion toolbox,Transit Feed (GTFS)
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Conversion toolbox,Transit Feed (GTFS)
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,3D Objects
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,3D Objects
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,3D Objects
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,3D Objects
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,3D Objects
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,3D Objects
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Archiving
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Archiving
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Archiving
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Archiving
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Archiving
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Archiving
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Attachments
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Attachments
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Attachments
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Attachments
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Attachments
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Attachments
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Attribute Rules
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Attribute Rules
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Attribute Rules
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Attribute Rules
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Attribute Rules
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Attribute Rules
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Contingent Values
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Contingent Values
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Contingent Values
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Contingent Values
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Contingent Values
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Contingent Values
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Data Comparison
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Data Comparison
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Data Comparison
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Data Comparison
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Data Comparison
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Data Comparison
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Distributed  Geodatabase
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Distributed  Geodatabase
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Distributed  Geodatabase
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Distributed  Geodatabase
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Distributed  Geodatabase
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Distributed  Geodatabase
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Domains
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Domains
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Domains
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Domains
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Domains
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Domains
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Feature Binning
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Feature Binning
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Feature Binning
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Feature Binning
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Feature Binning
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Feature Binning
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Feature Class
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Feature Class
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Feature Class
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Feature Class
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Feature Class
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Feature Class
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Features
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Features
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Features
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Features
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Features
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Features
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Fields
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Fields
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Fields
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Fields
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Fields
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Fields
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,File Geodatabase
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,File Geodatabase
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,File Geodatabase
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,File Geodatabase
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,File Geodatabase
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,File Geodatabase
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,General
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,General
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,General
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,General
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,General
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,General
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Generalization
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Generalization
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Generalization
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Generalization
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Generalization
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Generalization
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Geodatabase Administration
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Geodatabase Administration
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Geodatabase Administration
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Geodatabase Administration
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Geodatabase Administration
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Geodatabase Administration
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Indexes
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Indexes
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Indexes
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Indexes
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Indexes
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Indexes
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Joins and Relates
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Joins and Relates
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Joins and Relates
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Joins and Relates
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Joins and Relates
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Joins and Relates
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,LAS Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,LAS Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,LAS Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,LAS Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,LAS Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,LAS Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Layers and Table Views
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Layers and Table Views
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Layers and Table Views
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Layers and Table Views
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Layers and Table Views
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Layers and Table Views
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Package
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Package
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Package
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Package
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Package
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Package
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Package
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Package
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Package
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Package
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Package
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Package
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Photos
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Photos
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Photos
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Photos
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Photos
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Photos
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Projections and Transformations
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Projections and Transformations
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Projections and Transformations
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Projections and Transformations
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Projections and Transformations
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Projections and Transformations
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Projections and Transformations
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Projections and Transformations
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Projections and Transformations
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Projections and Transformations
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Projections and Transformations
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Projections and Transformations
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Relationship Classes
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Relationship Classes
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Relationship Classes
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Relationship Classes
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Relationship Classes
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Relationship Classes
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Sampling
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Sampling
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Sampling
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Sampling
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Sampling
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Sampling
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Subtypes
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Subtypes
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Subtypes
